Time [s],Value,Parity Error,Framing Error
0.807107300,(255),,
0.809939300,NUL,,Error
0.811811300,NUL,,Error
0.812809700,H,,
0.813803400,(239),,
0.814793800,US ,,Error
0.815809700,NUL,,Error
0.834329700,BS ,,Error
0.835331300,ENQ,,Error
0.837809600,NUL,,Error
0.838811300,NUL,,Error
0.839811300,SOH,,Error
0.840809700,NUL,,Error
0.841809700,NUL,,Error
0.842811300,NUL,,
0.843801700,(248),,
0.845179300,(255),,
0.846308900,BEL,,Error
0.847463500,DLE,,Error
0.848784100,NUL,,Error
0.849811300,NUL,,Error
0.850811300,NUL,,Error
0.851809700,NUL,,Error
0.854763300,EOT,,Error
0.855884900,NUL,,Error
0.859731300,STX,,
0.860721700,FF ,,Error
0.861811300,<,,Error
0.862809700,NUL,,Error
0.873443200,j,,
0.874435300,(253),,
0.875433800,(255),,
0.877309000,?,,Error
0.878353700,NUL,,Error
0.879443300,EOT,,Error
0.880441700,(239),,
0.881432100,(160),,Error
0.882424100,NUL,,Error
0.883811300,BS ,,Error
0.884803300,NUL,,Error
0.886109400,CAN,,Error
0.887206500,},,Error
0.888809700,NUL,,Error
0.889803300,(255),,
0.890859300,(223),,
0.891851300,(255),,
0.892843300,DEL,,Error
0.893845000,(135),,Error
0.894848100,(,,
0.895841700,(212),,
0.896833800,?,,
0.897827400,BEL,,Error
0.899688200,(SP),,
0.900681700,(175),,Error
0.901673800,(253),,
0.902673800,[,,Error
0.903678600,(255),,
0.904718600,#,,Error
0.905763300,(252),,
0.907308900,(255),,
0.908308900,NUL,,Error
0.909723300,0,,
0.910713700,(255),,
0.911721700,DEL,,
0.912715300,HT ,,Error
0.913707300,NUL,,Error
0.914712200,NUL,,Error
0.915705700,(255),,
0.917308900,(255),,
0.918308900,BEL,,Error
0.919643300,BS ,,Error
0.920782600,NUL,,Error
0.921809700,(232),,
0.922801700,(255),,
0.923899300,(255),,
0.924891300,(255),,
0.925953800,(255),,
0.927939300,(255),,Error
0.929811200,(252),,
0.930859300,(255),,
0.931853000,(243),,
0.932846500,N,,
0.933840100,(173),,Error
0.934832100,(252),,
0.935825700,(255),,
0.936817800,(255),,
0.938220800,(255),,Error
0.939224200,NUL,,Error
0.940255800,(192),,Error
0.941248200,(136),,Error
0.942240100,NUL,,Error
0.943232200,NUL,,Error
0.944811300,NUL,,Error
0.945809700,NUL,,Error
0.946809600,NUL,,Error
0.947811300,NUL,,Error
0.948809700,NUL,,Error
0.952809500,NUL,,Error
0.953809700,NUL,,Error
0.954809700,NUL,,Error
0.955811300,NUL,,
0.956801700,NUL,,Error
0.957808100,NUL,,Error
0.958811300,NUL,,Error
0.963809700,NUL,,Error
0.964811300,NUL,,Error
0.965809700,NUL,,Error
0.966811300,@,,Error
0.967803300,(253),,
0.968859300,DEL,,Error
0.970809700,(168),,
0.971801700,(255),,
0.972801700,(255),,
0.973798600,SI ,,
0.974789000,SOH,,Error
0.975785700,h,,
0.976776100,NUL,,Error
0.977811300,(252),,
